Code	Repository	GeneName	GeneSymbol	MotifLength
NR1I3_HUMAN.H10MO.S	HOCOMOCOv10	NR1I3	NR1I3	8
NR2C1_HUMAN.H10MO.C	HOCOMOCOv10	NR2C1	NR2C1	13
NR2C2_HUMAN.H10MO.A	HOCOMOCOv10	NR2C2	NR2C2	13
NR2E1_HUMAN.H10MO.D	HOCOMOCOv10	NR2E1	NR2E1	17
NR2E3_HUMAN.H10MO.C	HOCOMOCOv10	NR2E3	NR2E3	14
NR2F6_HUMAN.H10MO.D	HOCOMOCOv10	NR2F6	NR2F6	18
NR4A1_HUMAN.H10MO.C	HOCOMOCOv10	NR4A1	NR4A1	9
NR4A2_HUMAN.H10MO.C	HOCOMOCOv10	NR4A2	NR4A2	9
NR4A3_HUMAN.H10MO.D	HOCOMOCOv10	NR4A3	NR4A3	10
NR5A2_HUMAN.H10MO.C	HOCOMOCOv10	NR5A2	NR5A2	10
NR6A1_HUMAN.H10MO.B	HOCOMOCOv10	NR6A1	NR6A1	13
NRF1_HUMAN.H10MO.A	HOCOMOCOv10	NRF1	NRF1	18
NRL_HUMAN.H10MO.D	HOCOMOCOv10	NRL	NRL	11
OLIG1_HUMAN.H10MO.D	HOCOMOCOv10	OLIG1	OLIG1	14
OLIG2_HUMAN.H10MO.D	HOCOMOCOv10	OLIG2	OLIG2	11
OLIG3_HUMAN.H10MO.D	HOCOMOCOv10	OLIG3	OLIG3	11
OTX1_HUMAN.H10MO.D	HOCOMOCOv10	OTX1	OTX1	8
